Ticker,m20tmrw,Close,63d %,daily delta,previous daily delta,63d peak,chance,Earnings Offset Closest,Overall Record,average_duration,total_days_below_threshold
BG,81.992,99.86,-0.0256610401014732,-0.0008004802881729,0.0072566014916346,102.49,0,-25,24 - 6 (80.00%),13.0,53.0
BF-B,48.624,,,,,,,,,,
BF-A,48.88,,,,,,,,,,
BIP,25.560000000000002,29.63,-0.0726134585289515,0.0122992825418517,-0.004760285617137,31.95,0,-25,36 - 0 (100.00%),7.0,65.0
BIIB,214.168,212.02,-0.2080236076351275,-0.0215515252203608,-0.0064649243466299,267.71,0,-19,63 - 31 (67.02%),0.0,0.0
BHC,7.912000000000001,9.86,-0.0030333670374116,0.0400843881856538,-0.0083682008368201,9.89,0,23,160 - 28 (85.11%),18.0,277.0
BGNE,145.17600000000002,153.81,-0.1524218879153579,-0.0007146569646568,0.0124983554795419,181.47,0,21,163 - 20 (89.07%),54.0,932.0
BIDU,95.272,103.66,-0.1295658745486607,-0.0189286390308537,0.034057545507927,119.09,0,19,118 - 47 (71.52%),21.0,196.0
BK,45.824000000000005,56.61,-0.0116969273743017,0.0012380615493456,0.0012395962457942,57.28,0,-14,34 - 9 (79.07%),16.0,80.0
BHP,55.112,,,,,,,,,,
BIO,281.59200000000004,340.52,-0.0325861530157107,-0.0017296473278415,-0.0266792215944757,351.99,0,-26,70 - 12 (85.37%),56.0,847.0
BLD,351.29600000000005,432.61,-0.0148251047549644,-0.006407900780891,-0.0004591368227733,439.12,0,19,69 - 20 (77.53%),83.0,666.0
BKU,26.392000000000003,26.81,-0.1873294937859958,-0.0081391046984832,0.0022246941045607,32.99,0,-19,73 - 5 (93.59%),12.0,176.0
BKR,27.824,32.83,-0.0560667050028752,-0.013817963352358,-0.0044856459330142,34.78,0,-19,98 - 17 (85.22%),28.0,114.0
BLK,673.648,820.2,-0.0259601453578128,0.0048884478259272,-0.0104506383133494,842.06,0,-12,42 - 4 (91.30%),10.0,54.0
BLDP,3.048,2.66,-0.3018372703412073,-0.0220588235294117,-0.0180505415162454,3.81,0,11,213 - 55 (79.48%),23.0,422.0
BKNG,3121.592,3661.0801,-0.0617402658643408,0.0094129489159719,0.0006096729963334,3901.99,0,23,47 - 0 (100.00%),7.0,67.0
BKE,38.464,38.49,-0.1994592346089849,0.011563731931669,-0.0129701686121919,48.08,0,7,103 - 37 (73.57%),10.0,171.0
